carat,cut,color,clarity,depth,table,price,x,y,z
1,1.00,Good,H,VS2,63.70,59.00,4861,6.30,6.26,4.00
2,0.70,Good,E,SI1,61.60,61.00,2111,5.64,5.66,3.48
3,1.01,Very Good,F,VS2,62.00,59.00,6159,6.38,6.42,3.97
4,0.90,Very Good,D,SI1,61.60,54.00,3880,6.18,6.25,3.83
5,0.90,Very Good,F,SI1,62.50,62.00,3950,6.08,6.11,3.81
6,0.41,Premium,G,VS1,61.70,57.00,961,4.78,4.75,2.94
7,0.73,Premium,I,VS1,60.30,58.00,2393,5.87,5.83,3.53
8,0.35,Ideal,G,IF,61.30,55.00,1001,4.57,4.60,2.81
9,0.32,Ideal,G,VS2,62.00,57.00,672,4.41,4.37,2.72
10,0.41,Ideal,E,VVS1,61.30,56.00,1431,4.81,4.79,2.94
